time,open,high,low,close,volume
2014-02-03 01:58:00.000,1.34850,1.34854,1.34850,1.34853,76.9400
2014-02-03 01:59:00.000,1.34852,1.34853,1.34845,1.34850,89.5800
2014-02-03 02:00:00.000,1.34852,1.34853,1.34843,1.34844,181.8900
2014-02-03 02:01:00.000,1.34843,1.34843,1.34839,1.34841,46.2300
2014-02-03 02:02:00.000,1.34841,1.34841,1.34839,1.34840,44.1300
2014-02-03 02:03:00.000,1.34841,1.34843,1.34840,1.34840,62.9400
2014-02-03 02:04:00.000,1.34840,1.34841,1.34831,1.34831,77.0500
2014-02-03 02:05:00.000,1.34831,1.34831,1.34821,1.34823,70.5000
2014-02-03 02:06:00.000,1.34823,1.34823,1.34820,1.34820,83.2600
2014-02-03 02:07:00.000,1.34820,1.34821,1.34815,1.34821,54.8800
2014-02-03 02:08:00.000,1.34820,1.34823,1.34817,1.34818,132.3600
2014-02-03 02:09:00.000,1.34817,1.34822,1.34815,1.34815,95.7100
2014-02-03 02:10:00.000,1.34815,1.34820,1.34798,1.34802,208.6300
2014-02-03 02:11:00.000,1.34802,1.34803,1.34800,1.34803,102.5900
2014-02-03 02:12:00.000,1.34803,1.34807,1.34801,1.34804,106.4800
2014-02-03 02:13:00.000,1.34805,1.34812,1.34798,1.34810,165.3600
2014-02-03 02:14:00.000,1.34810,1.34814,1.34810,1.34812,19.3400
2014-02-03 02:15:00.000,1.34813,1.34813,1.34810,1.34811,20.4400
2014-02-03 02:16:00.000,1.34813,1.34825,1.34809,1.34825,84.2700
2014-02-03 02:17:00.000,1.34825,1.34832,1.34823,1.34832,70.6800
2014-02-03 02:18:00.000,1.34832,1.34835,1.34830,1.34830,49.7100
2014-02-03 02:19:00.000,1.34830,1.34830,1.34820,1.34820,38.2600
2014-02-03 02:20:00.000,1.34820,1.34821,1.34820,1.34820,46.2500
2014-02-03 02:21:00.000,1.34820,1.34825,1.34820,1.34823,31.1200
2014-02-03 02:22:00.000,1.34823,1.34831,1.34821,1.34831,42.2900
2014-02-03 02:23:00.000,1.34831,1.34833,1.34831,1.34833,30.7700
2014-02-03 02:24:00.000,1.34833,1.34843,1.34825,1.34842,99.4600
2014-02-03 02:25:00.000,1.34842,1.34842,1.34830,1.34833,43.1200
2014-02-03 02:26:00.000,1.34833,1.34845,1.34833,1.34843,62.2200
2014-02-03 02:27:00.000,1.34843,1.34845,1.34841,1.34842,35.5700
2014-02-03 02:28:00.000,1.34841,1.34842,1.34827,1.34831,64.6100
2014-02-03 02:29:00.000,1.34831,1.34832,1.34830,1.34830,19.0100
2014-02-03 02:30:00.000,1.34830,1.34830,1.34809,1.34821,145.2700
2014-02-03 02:31:00.000,1.34819,1.34821,1.34819,1.34821,42.8700
2014-02-03 02:32:00.000,1.34821,1.34821,1.34819,1.34820,61.5800
2014-02-03 02:33:00.000,1.34821,1.34821,1.34820,1.34820,34.8200
2014-02-03 02:34:00.000,1.34820,1.34823,1.34818,1.34821,42.3000
2014-02-03 02:35:00.000,1.34822,1.34826,1.34821,1.34823,32.8400
2014-02-03 02:36:00.000,1.34824,1.34825,1.34820,1.34821,54.8000
2014-02-03 02:37:00.000,1.34822,1.34834,1.34821,1.34834,42.5800
2014-02-03 02:38:00.000,1.34833,1.34834,1.34820,1.34820,108.1100
2014-02-03 02:39:00.000,1.34820,1.34826,1.34819,1.34826,107.9200
2014-02-03 02:40:00.000,1.34826,1.34829,1.34823,1.34828,101.8100
2014-02-03 02:41:00.000,1.34828,1.34828,1.34817,1.34821,97.9200
2014-02-03 02:42:00.000,1.34822,1.34824,1.34820,1.34823,38.9200
2014-02-03 02:43:00.000,1.34824,1.34824,1.34820,1.34820,13.9000
2014-02-03 02:44:00.000,1.34821,1.34824,1.34814,1.34823,71.7000
2014-02-03 02:45:00.000,1.34824,1.34828,1.34823,1.34828,53.0100
2014-02-03 02:46:00.000,1.34827,1.34832,1.34827,1.34832,39.2100